order_id,order_status,shipment_date,delivery_date,return_date,return_status
AU-b71cc1e0,Returned,2024-09-14,2024-07-24,,Returned
AU-c465b7b4,Shipped,2020-07-23,2023-06-01,,Not Returned
CA-06feb93d,In Transit,2020-05-18,2022-05-28,,Not Returned
IN-b411217d,In Transit,2021-09-29,2022-04-03,,Returned
IN-7c331e9b,Returned,2024-09-13,2020-08-10,,Returned
IN-35fd97a3,In Transit,2020-07-09,2023-09-06,,Returned
US-182dd461,In Transit,2024-08-12,2021-01-10,,Returned
US-ea912a5f,In Transit,2022-05-01,2020-12-17,,Not Returned
US-44575b5a,Delivered,2021-09-26,2023-02-01,,Returned
US-7a51293a,Shipped,2021-11-15,2024-01-26,,Returned
AU-edc85ac9,Returned,2024-07-05,2022-05-02,2024-02-26,Not Returned
AU-328e16e7,Shipped,2020-10-09,2020-06-28,,Not Returned
AU-599e911c,Shipped,2021-02-20,2025-01-01,,Returned
UK-128cd3dd,Delivered,2021-04-12,2022-11-29,,Not Returned
UK-8a45d429,Shipped,2025-03-08,2022-12-31,,Not Returned
IN-270ff26d,In Transit,2022-05-22,2024-10-09,,Returned
US-2f09050c,Returned,2023-06-29,2022-06-03,,Returned
CA-319f8be4,Shipped,2025-01-08,2021-08-18,,Returned
AU-2f1c645d,Returned,2024-09-18,2020-05-25,2025-01-30,Not Returned
AU-c4721086,In Transit,2021-10-11,2021-11-25,,Returned
IN-3bd5ab01,Shipped,2022-04-21,2022-06-23,,Returned
IN-b2070ded,Shipped,2021-09-09,2023-10-14,,Not Returned
IN-71423ab9,Delivered,2022-03-02,2024-12-18,,Not Returned
US-bfd32488,In Transit,2024-09-07,2022-07-30,,Returned
US-66a3cf9b,Delivered,2020-08-12,2021-12-14,2021-10-21,Returned
AU-a51e35bf,Delivered,2023-08-21,2023-11-26,,Returned
AU-c15c70d2,Delivered,2022-08-25,2021-09-04,,Not Returned
AU-cc89bb1a,Returned,2024-10-30,2022-08-30,,Returned
IN-6992e43a,In Transit,2022-03-15,2022-09-23,,Returned
UK-43b16edb,Returned,2023-12-05,2023-07-21,,Not Returned
UK-ad434625,Delivered,2022-05-01,2020-04-15,,Returned
UK-9b68ecf4,Delivered,2023-09-02,2022-03-23,2020-01-08,Not Returned
UK-83d73d6e,In Transit,2024-04-20,2020-07-13,,Not Returned
UK-ef00a287,Delivered,2021-01-05,2024-04-14,,Returned
UK-aba78d4c,Shipped,2020-08-15,2020-03-11,,Returned
UK-639966d1,Delivered,2023-04-23,2020-08-04,,Returned
UK-9f307c22,In Transit,2020-10-15,2021-08-26,,Returned
US-c6dabe39,In Transit,2021-10-04,2021-12-06,,Not Returned
US-c5210e70,Delivered,2024-12-28,2023-04-24,,Not Returned
US-d2814033,In Transit,2021-08-29,2022-07-30,,Not Returned
CA-e4a4dcbb,Returned,2023-07-29,2023-09-15,,Returned
CA-d8a8f4db,Shipped,2024-06-22,2024-11-10,,Not Returned
CA-8c0d5aeb,Shipped,2021-08-24,2025-03-17,,Returned
US-2be44ae2,Shipped,2022-11-13,2020-02-25,,Not Returned
US-2724fc51,Returned,2022-10-20,2022-12-11,2021-11-18,Returned
AU-d0d693f2,In Transit,2021-06-06,2023-03-28,,Not Returned
UK-44bf5be2,Delivered,2020-10-18,2022-05-02,,Not Returned
UK-f279efa6,Shipped,2021-10-02,2021-05-17,,Returned
UK-ce54882a,Shipped,2021-06-06,2022-10-01,,Not Returned
UK-6b7a38d8,Returned,2024-03-17,2024-08-31,,Not Returned
UK-ed5950b0,In Transit,2022-05-24,2020-04-05,,Returned
UK-fc9db4bc,Returned,2021-06-01,2021-12-27,,Returned
UK-620e04ff,Shipped,2023-10-22,2020-11-21,,Not Returned
UK-8a677bf9,In Transit,2021-03-12,2020-12-09,,Returned
UK-ef82cac1,Shipped,2020-11-18,2024-04-08,,Not Returned
CA-3c2439b5,Delivered,2020-04-10,2024-09-21,,Not Returned
CA-cb69d289,Shipped,2024-09-09,2021-07-30,,Not Returned
CA-6d107471,Shipped,2023-03-14,2022-11-02,,Not Returned
IN-f369ab4c,Delivered,2024-07-13,2022-01-09,,Not Returned
IN-db1dd050,In Transit,2020-12-22,2022-12-29,,Returned
IN-4008332f,Shipped,2021-08-30,2024-05-30,,Not Returned
IN-5e8e9816,Delivered,2024-04-04,2024-05-04,,Not Returned
US-a66ed06b,Delivered,2021-04-30,2021-01-01,2022-12-16,Returned
US-4580c60f,Delivered,2021-08-30,2021-10-15,,Not Returned
CA-bb0dab9a,Returned,2022-02-26,2023-01-12,,Returned
CA-aa0768ff,Shipped,2025-02-20,2023-09-21,,Returned
CA-76c3847a,Shipped,2023-05-01,2023-07-01,2020-08-09,Not Returned
CA-aff6190a,In Transit,2024-12-01,2022-09-02,,Not Returned
CA-908fa0cb,Returned,2020-12-13,2025-01-03,,Not Returned
US-4ef79688,Delivered,2023-03-24,2024-06-03,,Returned
UK-68a1d464,Delivered,2022-10-06,2022-05-08,,Not Returned
UK-6899c7e4,Returned,2023-07-05,2022-07-16,,Returned
UK-12c32280,Shipped,2023-10-27,2022-04-11,2022-03-27,Not Returned
IN-05bb4370,Delivered,2023-12-17,2022-06-09,,Not Returned
IN-b6e188b6,Returned,2023-11-08,2020-08-25,,Returned
IN-3d1833a8,Shipped,2023-04-20,2021-12-12,,Returned
CA-b5879b61,Returned,2024-02-21,2020-01-14,,Returned
CA-22e8cec6,In Transit,2024-10-23,2021-07-30,,Returned
CA-41554754,Returned,2024-09-11,2021-01-01,,Not Returned
IN-dcfddcd2,In Transit,2022-09-30,2024-12-15,2021-10-14,Not Returned
IN-186e3053,Returned,2024-08-19,2021-08-20,,Not Returned
IN-42c028f9,Returned,2023-02-04,2022-07-25,,Not Returned
AU-578d69c0,Returned,2023-10-18,2021-09-10,,Returned
US-d2775c65,Returned,2021-02-07,2022-07-04,,Not Returned
US-50457062,In Transit,2024-07-27,2023-03-16,,Not Returned
US-d7c71c26,Shipped,2020-08-27,2022-07-30,,Returned
IN-07d07037,In Transit,2020-01-10,2021-01-20,,Returned
IN-01686985,Returned,2023-04-22,2021-09-24,,Not Returned
IN-55842fb2,In Transit,2020-08-13,2024-01-16,,Not Returned
US-3d99ebdb,Returned,2021-12-15,2025-03-09,,Not Returned
US-a08d6f70,Delivered,2020-10-22,2022-05-28,2022-06-06,Not Returned
IN-88ff2a3f,In Transit,2020-02-07,2022-11-03,,Returned
IN-264e3d85,Shipped,2022-05-01,2023-05-14,2023-12-29,Not Returned
IN-7274a56e,Shipped,2021-03-14,2020-04-05,,Returned
IN-135ec08b,Delivered,2022-12-31,2024-06-16,,Not Returned
IN-3e4a3c11,Shipped,2020-07-01,2020-07-30,,Returned
CA-3deea564,Returned,2022-12-07,2020-10-18,,Returned
AU-72cd6a23,Returned,2025-01-30,2024-07-03,2024-03-29,Not Returned
AU-e1472492,Shipped,2024-10-25,2025-02-07,,Returned
IN-ea521afe,In Transit,2020-02-09,2020-05-17,,Not Returned
IN-18509878,Shipped,2023-05-28,2023-02-04,,Returned
UK-02ceef53,Returned,2020-04-28,2025-03-07,,Returned
UK-46430bbe,Shipped,2024-09-04,2021-08-07,,Returned
CA-6834cc54,Returned,2023-06-19,2021-10-19,,Returned
CA-127354c0,Returned,2023-04-18,2021-10-30,,Not Returned
UK-fd8020b7,In Transit,2020-10-03,2023-10-19,,Returned
UK-b6bb7189,In Transit,2024-10-20,2020-03-08,,Not Returned
IN-f8c99e60,Returned,2024-09-01,2024-12-14,,Not Returned
IN-6db7d57b,Returned,2023-06-20,2020-02-28,,Returned
IN-af9e7ffb,Shipped,2021-07-04,2021-10-22,,Not Returned
US-96d5bdc5,In Transit,2021-01-19,2023-08-27,,Returned
IN-39f644c5,In Transit,2024-06-08,2020-01-28,,Returned
IN-d0185599,Shipped,2024-06-04,2020-10-10,,Not Returned
UK-ac79f14c,Delivered,2023-07-22,2020-01-28,,Returned
UK-a00bbb60,Shipped,2020-09-21,2022-12-04,,Returned
US-b9a9e64f,Shipped,2021-09-28,2020-11-09,,Not Returned
CA-aca1941b,Returned,2020-06-06,2022-11-26,,Not Returned
IN-f6ef77f0,Returned,2023-04-29,2020-01-04,,Not Returned
UK-cf09bea8,Shipped,2021-05-26,2022-12-06,,Not Returned
US-30ffb254,Shipped,2021-06-22,2023-05-10,,Not Returned
AU-784f5af3,Delivered,2024-01-01,2024-01-13,,Not Returned
AU-0cfad9b3,Shipped,2021-01-17,2025-02-03,,Returned
AU-14e20a29,Returned,2021-01-31,2021-07-16,,Not Returned
US-71f02566,Delivered,2024-12-26,2020-03-04,,Not Returned
US-fa108ac9,In Transit,2021-05-08,2020-12-09,2021-01-01,Not Returned
CA-256a8aec,Shipped,2022-10-21,2020-06-08,,Not Returned
CA-5818c461,In Transit,2020-01-03,2021-09-17,,Not Returned
CA-a9d864b6,Shipped,2020-02-15,2022-02-24,,Not Returned
UK-2234b099,Returned,2023-11-27,2023-12-07,,Returned
UK-7c1b2d80,Delivered,2024-06-06,2021-10-08,,Returned
UK-f6255413,In Transit,2022-04-18,2022-12-24,,Returned
UK-3df35dc4,Delivered,2022-10-30,2021-04-05,,Returned
UK-c640de2a,Delivered,2024-12-05,2024-06-20,,Not Returned
UK-d0bc7e43,Delivered,2021-06-15,2023-03-17,2024-10-22,Not Returned
UK-db4e439e,Delivered,2021-09-20,2022-05-15,,Not Returned
CA-c4161baa,In Transit,2023-07-03,2022-05-07,2024-10-16,Not Returned
US-9b6aa750,Returned,2024-10-29,2021-05-22,,Not Returned
UK-2e42d17f,Returned,2023-05-05,2024-06-23,,Not Returned
UK-14f9f4f6,In Transit,2022-07-30,2022-02-21,,Not Returned
UK-80033e95,Shipped,2024-05-04,2023-02-02,,Returned
CA-87ca539f,Delivered,2023-04-02,2020-12-02,,Returned
US-ed91a63c,Shipped,2025-02-11,2022-08-18,,Returned
US-614fd589,Returned,2020-03-29,2021-05-23,,Not Returned
AU-d4a1fbfe,Returned,2020-01-19,2024-03-21,,Not Returned
CA-284c9934,In Transit,2022-09-14,2022-12-14,,Returned
AU-be66ccae,In Transit,2021-11-28,2020-11-04,,Returned
CA-09a3f798,Delivered,2021-01-12,2022-05-05,,Returned
CA-cc9fb3ce,In Transit,2023-01-24,2022-02-06,,Returned
CA-ee70b2a3,Returned,2020-08-06,2021-09-20,,Not Returned
UK-6c805c24,Returned,2022-06-12,2021-07-20,,Not Returned
UK-2c9f7ec5,In Transit,2021-04-04,2025-02-06,,Not Returned
UK-d3c85333,In Transit,2021-03-16,2021-09-05,,Not Returned
IN-acf334a8,Returned,2021-02-09,2023-01-19,,Not Returned
IN-10586d62,Shipped,2022-05-12,2022-07-10,,Not Returned
IN-f8118820,Shipped,2023-10-24,2020-05-13,,Returned
CA-c422a23a,Delivered,2023-04-14,2021-12-25,2023-06-02,Returned
CA-d33c5bf3,Shipped,2020-12-26,2021-11-12,,Not Returned
CA-ab412164,Returned,2020-06-13,2020-02-03,,Returned
UK-1c3b2a5c,Shipped,2021-07-31,2024-06-28,,Not Returned
UK-a0f6c399,Delivered,2021-04-25,2024-07-05,,Not Returned
AU-f6b737af,Returned,2020-08-01,2022-02-01,,Returned
UK-039bd884,In Transit,2024-11-25,2023-04-09,,Returned
US-2994aca7,Delivered,2023-04-07,2023-08-25,,Not Returned
US-1092c3eb,Shipped,2024-03-02,2025-01-29,2024-09-24,Not Returned
US-cee27467,Returned,2020-02-03,2023-02-12,,Returned
CA-a48b482d,In Transit,2021-09-20,2025-01-20,,Not Returned
CA-f8889421,Delivered,2023-12-22,2023-03-28,,Returned
AU-c92728bc,Delivered,2021-02-21,2023-01-30,,Returned
CA-3450c5df,Delivered,2022-03-08,2024-08-15,,Returned
CA-17b73fb7,In Transit,2021-03-20,2020-09-09,,Not Returned
UK-24a18cbe,Delivered,2023-03-12,2023-06-11,,Not Returned
UK-12e378b2,Shipped,2022-04-16,2022-02-08,,Returned
UK-60be2890,Shipped,2020-07-21,2021-04-20,,Returned
UK-4f98e9c5,Delivered,2022-05-19,2020-04-20,,Returned
UK-5178df01,Returned,2022-12-19,2023-11-04,,Not Returned
UK-c433b076,Returned,2022-09-11,2020-01-15,,Returned
IN-72874449,Delivered,2020-04-06,2021-03-27,,Not Returned
IN-89ea2157,In Transit,2024-04-18,2024-02-06,,Not Returned
IN-572f20d6,Returned,2020-05-29,2022-02-08,,Not Returned
US-c6c7c0dd,In Transit,2023-05-12,2024-07-21,2022-09-05,Returned
US-d869ebb4,Returned,2022-06-30,2023-08-13,,Returned
CA-fb137527,Returned,2022-07-30,2022-09-15,,Not Returned
CA-bfa4b7bf,Delivered,2022-12-03,2020-03-26,,Returned
AU-2e523056,In Transit,2020-06-06,2022-03-26,,Not Returned
AU-9b720d06,Delivered,2025-01-17,2021-10-22,,Not Returned
AU-b0194908,Delivered,2021-06-15,2022-10-20,,Returned
US-8b8bac6d,In Transit,2024-08-06,2022-10-31,,Returned
IN-f56c3196,Delivered,2021-05-06,2021-12-02,,Returned
IN-74956067,Delivered,2024-03-09,2021-12-03,,Returned
IN-be068fcf,Shipped,2020-05-20,2021-01-22,,Returned
CA-82b77ce7,Shipped,2020-04-01,2021-11-28,,Returned
AU-0fbcc8c2,Shipped,2021-07-24,2022-12-17,,Returned
AU-a271e12f,In Transit,2021-07-26,2020-11-18,,Not Returned
IN-374a787b,Delivered,2024-04-13,2021-05-15,,Returned
IN-4256e8f1,Shipped,2024-02-14,2020-09-29,,Returned
IN-baa88eea,Returned,2024-04-07,2021-06-20,2021-04-30,Returned
AU-23526d0a,Shipped,2023-01-24,2024-12-13,2020-05-29,Returned
UK-cddfc928,Returned,2020-04-26,2025-02-26,,Returned
UK-48a410c1,In Transit,2022-01-07,2025-02-03,2024-11-07,Returned
UK-3548df50,Delivered,2024-11-04,2023-03-24,2020-08-23,Not Returned
US-55e973d8,Shipped,2020-01-31,2020-12-22,,Returned
AU-5a479b90,Delivered,2021-02-06,2021-09-19,,Returned
AU-e4b6e3dd,Shipped,2023-05-16,2024-09-09,,Returned
AU-a520cee9,In Transit,2020-04-20,2022-08-06,,Not Returned
CA-39d70b08,Returned,2021-07-05,2025-03-07,,Returned
US-b5f0c6f1,Returned,2023-05-01,2020-08-06,,Not Returned
IN-604e648a,In Transit,2022-10-11,2024-04-06,,Not Returned
IN-5ba3ac49,Shipped,2021-02-11,2024-05-08,,Returned
AU-2d173d26,In Transit,2024-03-11,2024-10-04,,Not Returned
AU-2a32a334,Shipped,2023-06-05,2024-04-25,,Not Returned
UK-b3ce070d,Returned,2024-03-26,2020-02-04,,Returned
IN-45ff447f,Shipped,2021-12-14,2022-12-19,,Not Returned
IN-298d9307,In Transit,2020-03-02,2025-01-16,,Not Returned
AU-2b7728a4,In Transit,2020-01-17,2024-04-18,,Returned
AU-e68f6db4,Shipped,2021-04-25,2024-12-03,,Not Returned
AU-854f2aac,Shipped,2023-03-31,2024-12-14,,Returned
US-aad2eb9e,In Transit,2023-12-29,2023-04-14,,Not Returned
US-91500ea0,Returned,2021-05-08,2024-10-22,,Returned
CA-1af9952c,Shipped,2023-10-23,2024-02-27,,Not Returned
CA-5266062b,In Transit,2022-08-08,2023-06-06,,Returned
AU-c560aa61,In Transit,2025-03-15,2024-07-13,,Not Returned
AU-3e8dbe86,Delivered,2020-11-30,2022-01-08,,Returned
IN-4d9b55bb,Shipped,2023-04-18,2020-08-10,,Returned
IN-75ba0922,Returned,2024-03-16,2022-10-15,,Returned
IN-eebe7141,In Transit,2024-10-06,2024-02-09,,Not Returned
US-d5328512,Shipped,2021-08-13,2024-07-19,2020-05-31,Not Returned
AU-30f35f8c,In Transit,2020-04-12,2021-11-22,,Returned
US-bf1a9c74,In Transit,2022-02-14,2020-02-26,,Not Returned
US-7d507dab,Returned,2023-01-18,2024-07-04,,Returned
US-9b8efbf9,Delivered,2020-05-08,2023-04-28,,Returned
UK-d56d2813,In Transit,2023-01-16,2022-05-23,,Not Returned
UK-4f48621e,Returned,2024-10-09,2023-07-15,,Returned
UK-06ada71b,Delivered,2023-08-21,2024-04-08,,Not Returned
IN-e4a02c8c,In Transit,2023-06-21,2022-11-17,,Returned
IN-9fbc4e1f,Shipped,2020-08-20,2020-05-30,,Returned
UK-c931696d,Returned,2024-02-03,2024-12-05,,Returned
UK-2d6c802f,In Transit,2022-05-07,2022-07-03,,Not Returned
UK-4b318841,Delivered,2021-04-19,2020-11-05,,Returned
US-ca9f4875,Delivered,2023-02-01,2021-04-09,,Returned
US-8f23c318,Returned,2021-01-18,2021-09-01,,Returned
UK-05a51604,Shipped,2023-05-17,2023-08-23,,Not Returned
UK-add14597,Returned,2022-04-20,2024-12-25,,Not Returned
UK-e7ca18ee,Shipped,2023-01-16,2020-01-08,,Returned
UK-b37e9ca8,In Transit,2021-01-30,2024-06-05,,Not Returned
AU-4db36b97,Returned,2023-11-02,2020-03-27,,Returned
AU-e56b0c1a,Returned,2024-05-05,2022-06-11,,Returned
AU-1d233fba,Shipped,2022-01-21,2025-03-09,,Not Returned
UK-91cce266,Shipped,2023-01-11,2020-09-17,,Not Returned
AU-e81e94bd,Shipped,2023-03-11,2021-08-24,,Returned
AU-227bba3b,In Transit,2022-09-13,2023-08-25,,Not Returned
AU-04e80431,Returned,2020-09-07,2022-08-27,,Not Returned
AU-bd153ff1,Shipped,2021-02-04,2023-03-19,,Not Returned
UK-cdcd4ab6,Shipped,2021-08-26,2021-06-03,,Not Returned
UK-6217efae,Delivered,2023-07-07,2022-08-27,,Returned
UK-ff4b2593,In Transit,2022-03-23,2022-06-01,,Returned
AU-dfc04c4b,Returned,2023-03-06,2020-04-18,,Not Returned
AU-79910e53,Shipped,2023-10-15,2020-02-11,,Returned
AU-f3167bf0,In Transit,2024-09-24,2021-03-19,,Returned
US-cc1bc923,In Transit,2020-08-10,2020-06-09,,Returned
US-663cb768,Shipped,2025-03-09,2020-11-19,,Returned
US-c6dbe5cc,In Transit,2020-09-22,2020-10-08,2023-11-13,Not Returned
IN-c66c0618,Delivered,2024-10-12,2022-01-29,,Not Returned
IN-4f76b6ba,Delivered,2021-03-01,2023-11-13,,Returned
CA-c286d6e8,Delivered,2022-06-30,2021-05-31,,Returned
AU-aca4ee0a,Shipped,2021-05-11,2024-10-03,,Returned
AU-8cab99a6,Returned,2022-12-02,2021-08-10,,Returned
AU-9fd975ab,Shipped,2021-06-17,2022-09-22,,Returned
US-545b58c6,Delivered,2023-01-01,2021-11-17,,Returned
UK-fc21a35f,Returned,2022-05-22,2021-09-08,,Not Returned
AU-85acc32a,In Transit,2020-12-09,2020-06-25,,Not Returned
AU-10791aac,Returned,2021-07-28,2025-02-09,,Returned
AU-8644c8fc,In Transit,2021-12-24,2021-09-06,,Returned
IN-55c3365d,Returned,2020-03-24,2021-08-15,,Returned
IN-c50cc6a7,Delivered,2020-06-16,2022-07-26,,Not Returned
IN-c229a336,Returned,2021-01-26,2024-03-09,,Returned
CA-7667cae7,Shipped,2021-05-19,2021-12-18,,Returned
IN-06e46716,Delivered,2021-03-03,2020-07-08,,Not Returned
US-68d5deb5,Shipped,2023-03-23,2024-12-03,,Not Returned
US-744aa568,Shipped,2023-11-15,2023-04-01,,Returned
US-23010d5e,Returned,2020-10-07,2023-06-19,,Returned
AU-53dde5bd,Delivered,2020-08-12,2021-10-10,,Returned
US-3cdb629e,In Transit,2021-12-26,2022-09-13,,Returned
US-5af14230,Shipped,2024-07-21,2024-03-20,,Returned
US-504c37ec,Returned,2020-04-07,2022-09-11,,Not Returned
CA-214061b6,Shipped,2022-05-16,2020-08-18,2023-04-08,Returned
CA-491f12e1,Delivered,2023-01-08,2020-06-22,,Not Returned
CA-e484c632,Delivered,2020-02-14,2021-01-01,,Returned
IN-0484c84a,Delivered,2020-08-20,2024-07-11,,Not Returned
IN-2169a405,Shipped,2020-07-07,2021-02-11,,Not Returned
IN-dfcf1f7e,Returned,2024-07-19,2023-09-27,,Returned
UK-55a94cd9,In Transit,2022-09-16,2021-12-18,,Not Returned
CA-7d02a19f,Returned,2020-01-18,2020-04-15,,Not Returned
UK-ae0a8c56,Delivered,2025-02-28,2020-04-10,,Returned
IN-6b88e3e4,Delivered,2021-06-04,2020-01-22,,Returned
IN-45f0f305,Returned,2024-05-14,2024-02-25,,Returned
US-1f6630cb,In Transit,2025-03-05,2024-07-03,,Returned
IN-1eaae2d1,Shipped,2022-03-30,2022-03-10,,Not Returned
IN-fe6210fe,In Transit,2020-11-16,2024-12-19,,Not Returned
US-390e98bf,In Transit,2020-01-19,2023-11-14,,Returned
US-bcb28429,Shipped,2020-04-13,2022-05-20,,Returned
US-07e179c2,Returned,2023-02-22,2021-10-14,,Returned
UK-0c2dcb24,Shipped,2024-03-25,2025-03-03,,Returned
UK-0422dc29,In Transit,2023-05-06,2020-03-22,,Returned
UK-a17b7455,Shipped,2020-07-10,2021-09-16,,Not Returned
IN-497c6781,Shipped,2022-08-30,2022-12-30,,Not Returned
IN-0b05a1ee,Shipped,2022-05-09,2025-03-18,,Returned
IN-af3070d0,In Transit,2024-12-28,2023-07-09,,Returned
UK-277829a2,Shipped,2020-12-21,2022-05-29,,Returned
UK-6ed07cf7,Shipped,2022-06-04,2022-09-22,,Not Returned
IN-7670622c,Delivered,2020-12-19,2025-03-10,,Not Returned
IN-79bf4f62,Shipped,2021-05-05,2023-02-05,,Returned
UK-664ae2bf,Delivered,2023-04-03,2022-04-17,,Not Returned
UK-dc3c3868,Shipped,2025-03-07,2024-06-21,,Not Returned
UK-633f6ccd,In Transit,2020-10-05,2022-09-22,,Returned
AU-9e964208,Returned,2022-12-03,2023-10-23,,Returned
AU-d5fa397f,Returned,2023-03-02,2024-08-30,,Not Returned
AU-0bca75c4,Returned,2022-09-01,2023-03-20,,Returned
US-a31056b9,In Transit,2022-01-18,2021-02-21,,Returned
AU-c7373237,Returned,2024-02-06,2022-11-16,,Not Returned
AU-9b95ec52,Delivered,2022-09-26,2024-03-13,,Returned
AU-ba37c6fe,Delivered,2025-02-27,2022-03-02,,Not Returned
AU-4c066c62,Shipped,2024-02-02,2020-08-16,,Not Returned
AU-ad2e6740,Shipped,2023-04-06,2021-04-28,,Returned
UK-a2797830,Delivered,2023-05-11,2022-02-24,,Returned
UK-5699f407,Returned,2020-01-07,2020-05-29,,Returned
UK-ad3229f1,Delivered,2023-01-25,2020-11-20,,Returned
CA-7b2e675d,Delivered,2020-10-16,2020-03-28,,Returned
CA-3852108d,Delivered,2021-09-22,2022-06-06,,Not Returned
CA-7e86e913,Delivered,2022-06-02,2024-10-11,,Not Returned
AU-76aed25c,Delivered,2025-01-09,2023-02-08,,Not Returned
AU-bdb348e3,Delivered,2022-09-24,2023-08-25,,Returned
US-0e418d37,Returned,2023-12-19,2025-02-05,2020-05-18,Not Returned
US-273811b8,Delivered,2020-09-27,2020-02-02,,Returned
US-0ffacc61,In Transit,2020-03-09,2024-11-18,,Returned
AU-0ed8e6cf,Delivered,2022-07-28,2022-06-16,,Not Returned
UK-4a0bcf2c,Shipped,2023-03-02,2024-11-09,2024-06-20,Returned
UK-528eff42,Returned,2022-06-18,2023-08-18,,Not Returned
UK-b5146861,Returned,2022-09-08,2023-11-10,,Returned
UK-8f01a41e,In Transit,2021-05-10,2024-05-08,,Returned
UK-455a71c9,In Transit,2021-01-17,2024-11-05,,Returned
CA-9be1e7e6,In Transit,2021-08-27,2021-02-20,,Returned
CA-beb05ece,In Transit,2020-03-30,2021-02-08,,Returned
CA-8e311a19,In Transit,2020-05-07,2020-06-13,,Not Returned
AU-a2bcb99b,Delivered,2020-10-13,2021-05-09,,Returned
AU-9db4dddc,Returned,2023-05-29,2020-09-09,,Returned
